Week,Match_Order_in_Week,Date,Start Time,End Time,Team A,Team B
9,3,24-08-2025,07:20 PM IST,08:00 PM IST,Reckon FC (FUTURE),Sapphire Seven
9,4,24-08-2025,08:00 PM IST,08:40 PM IST,H&H Boyz,Bon Bon FC (Supa)
9,5,24-08-2025,08:40 PM IST,09:20 PM IST,Kanhaiya's Physio FC (Beast),BKFC
9,6,24-08-2025,09:20 PM IST,10:00 PM IST,Ektarfa FC (TeamSkeet),Cell Kraft FC (Riza)
10,1,31-08-2025,06:00 PM IST,06:40 PM IST,Cell Kraft FC (Riza),BKFC
10,2,31-08-2025,06:40 PM IST,07:20 PM IST,H&H Boyz,Sarthak Singapore FC (Silverbacks)
10,3,31-08-2025,07:20 PM IST,08:00 PM IST,Ektarfa FC (TeamSkeet),Bon Bon FC (Supa)
10,4,31-08-2025,08:00 PM IST,08:40 PM IST,Propex FC (Galacticos),Reckon FC (FUTURE)
10,5,31-08-2025,08:40 PM IST,09:20 PM IST,Kanhaiya's Physio FC (Beast),Sarco FC (LUFC)
10,6,31-08-2025,09:20 PM IST,10:00 PM IST,Procure FC (Carnage),Sapphire Seven
11,1,07-09-2025,06:00 PM IST,06:40 PM IST,Bon Bon FC (Supa),Sarthak Singapore FC (Silverbacks)
11,2,07-09-2025,06:40 PM IST,07:20 PM IST,H&H Boyz,Sapphire Seven
11,3,07-09-2025,07:20 PM IST,08:00 PM IST,Kanhaiya's Physio FC (Beast),Reckon FC (FUTURE)
11,4,07-09-2025,08:00 PM IST,08:40 PM IST,Ektarfa FC (TeamSkeet),BKFC
11,5,07-09-2025,08:40 PM IST,09:20 PM IST,Procure FC (Carnage),Propex FC (Galacticos)
11,6,07-09-2025,09:20 PM IST,10:00 PM IST,Cell Kraft FC (Riza),Sarco FC (LUFC)
12,1,14-09-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),Sarthak Singapore FC (Silverbacks)
12,2,14-09-2025,06:40 PM IST,07:20 PM IST,Kanhaiya's Physio FC (Beast),Procure FC (Carnage)
12,3,14-09-2025,07:20 PM IST,08:00 PM IST,H&H Boyz,Propex FC (Galacticos)
12,4,14-09-2025,08:00 PM IST,08:40 PM IST,BKFC,Sarco FC (LUFC)
12,5,14-09-2025,08:40 PM IST,09:20 PM IST,Cell Kraft FC (Riza),Reckon FC (FUTURE)
12,6,14-09-2025,09:20 PM IST,10:00 PM IST,Bon Bon FC (Supa),Sapphire Seven
13,1,21-09-2025,06:00 PM IST,06:40 PM IST,Sarthak Singapore FC (Silverbacks),Sapphire Seven
13,2,21-09-2025,06:40 PM IST,07:20 PM IST,BKFC,Reckon FC (FUTURE)
13,3,21-09-2025,07:20 PM IST,08:00 PM IST,Ektarfa FC (TeamSkeet),Sarco FC (LUFC)
13,4,21-09-2025,08:00 PM IST,08:40 PM IST,Bon Bon FC (Supa),Propex FC (Galacticos)
13,5,21-09-2025,08:40 PM IST,09:20 PM IST,Cell Kraft FC (Riza),Procure FC (Carnage)
13,6,21-09-2025,09:20 PM IST,10:00 PM IST,H&H Boyz,Kanhaiya's Physio FC (Beast)
14,1,28-09-2025,06:00 PM IST,06:40 PM IST,BKFC,Procure FC (Carnage)
14,2,28-09-2025,06:40 PM IST,07:20 PM IST,Ektarfa FC (TeamSkeet),Sapphire Seven
14,3,28-09-2025,07:20 PM IST,08:00 PM IST,Cell Kraft FC (Riza),H&H Boyz
14,4,28-09-2025,08:00 PM IST,08:40 PM IST,Bon Bon FC (Supa),Kanhaiya's Physio FC (Beast)
14,5,28-09-2025,08:40 PM IST,09:20 PM IST,Sarthak Singapore FC (Silverbacks),Propex FC (Galacticos)
14,6,28-09-2025,09:20 PM IST,10:00 PM IST,Sarco FC (LUFC),Reckon FC (FUTURE)
15,1,05-10-2025,06:00 PM IST,06:40 PM IST,Sarco FC (LUFC),Procure FC (Carnage)
15,2,05-10-2025,06:40 PM IST,07:20 PM IST,BKFC,H&H Boyz
15,3,05-10-2025,07:20 PM IST,08:00 PM IST,Ektarfa FC (TeamSkeet),Reckon FC (FUTURE)
15,4,05-10-2025,08:00 PM IST,08:40 PM IST,Bon Bon FC (Supa),Cell Kraft FC (Riza)
15,5,05-10-2025,08:40 PM IST,09:20 PM IST,Sapphire Seven,Propex FC (Galacticos)
15,6,05-10-2025,09:20 PM IST,10:00 PM IST,Sarthak Singapore FC (Silverbacks),Kanhaiya's Physio FC (Beast)
16,1,12-10-2025,06:00 PM IST,06:40 PM IST,BKFC,Bon Bon FC (Supa)
16,2,12-10-2025,06:40 PM IST,07:20 PM IST,Ektarfa FC (TeamSkeet),Propex FC (Galacticos)
16,3,12-10-2025,07:20 PM IST,08:00 PM IST,Sapphire Seven,Kanhaiya's Physio FC (Beast)
16,4,12-10-2025,08:00 PM IST,08:40 PM IST,Reckon FC (FUTURE),Procure FC (Carnage)
16,5,12-10-2025,08:40 PM IST,09:20 PM IST,Sarthak Singapore FC (Silverbacks),Cell Kraft FC (Riza)
16,6,12-10-2025,09:20 PM IST,10:00 PM IST,Sarco FC (LUFC),H&H Boyz
