"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2019","Africa","Angola","Male","15.4","15.37612","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Angola","Female","52.1","52.12018","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Angola","Female","44.7","44.74432","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Angola","Female","16.0","16.00562","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Angola","Female","60.5","60.52821","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Angola","Female","52.0","51.97081","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Angola","Female","17.5","17.54322","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Angola","Female","64.5","64.49519","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Angola","Female","55.3","55.27776","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Angola","Female","18.4","18.41525","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Angola","Female","65.5","65.51968","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Angola","Female","56.2","56.20812","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Angola","Female","18.6","18.55177","","","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Angola","Both sexes","49.3","49.30265","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Angola","Both sexes","42.9","42.87378","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Angola","Both sexes","14.4","14.41537","","","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Angola","Both sexes","58.1","58.06943","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Africa","Angola","Both sexes","50.6","50.56540","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Africa","Angola","Both sexes","16.0","15.97037","","","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Angola","Both sexes","61.7","61.71907","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Africa","Angola","Both sexes","53.7","53.66165","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Africa","Angola","Both sexes","16.7","16.70558","","","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Angola","Both sexes","63.1","63.06044","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Africa","Angola","Both sexes","54.8","54.84173","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Africa","Angola","Both sexes","17.0","16.98254","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Albania","Male","70.7","70.65347","","","","",""
